,Date,Open,High,Low,Close,Volume,Market Cap
206,2018-07-26,0.4594469965,0.4669829905,0.4468489885,0.4499199986,199587008.0,17688912309.5
207,2018-07-27,0.4496229887,0.4594860077,0.4452239871,0.4536350071,203720992.0,17834970073.6
208,2018-07-28,0.4545989931,0.4561699927,0.4496949911,0.4536670148,157346000.0,17836228175.5
209,2018-07-29,0.4566060007,0.4571399987,0.4502489865,0.4533059895,191966000.0,17822035213.8
210,2018-07-30,0.453469,0.454549,0.436964,0.446107,247714000.0,17539001608.4
211,2018-07-31,0.445892,0.446124,0.427753,0.435225,228767000.0,17111168340.8
212,2018-08-01,0.435562,0.459134,0.427168,0.445852,323200000.0,17528976109.1
213,2018-08-02,0.447016,0.447645,0.429939,0.430254,204898000.0,16915730078.3
214,2018-08-03,0.430397,0.443633,0.426481,0.440571,278870000.0,17314385048.0
215,2018-08-04,0.441039,0.443058,0.427125,0.428507,185678000.0,16840271360.9
216,2018-08-05,0.42858,0.434594,0.427522,0.433638,186848000.0,17041919017.5
217,2018-08-06,0.433886,0.435794,0.40668,0.414081,242075000.0,16273331370.1
218,2018-08-07,0.413776,0.415917,0.379526,0.381006,244448000.0,14973488018.0
219,2018-08-08,0.380875,0.380875,0.326996,0.331944,360857000.0,13045357570.9
220,2018-08-09,0.333771,0.359654,0.332608,0.346771,325775000.0,13628056811.4
221,2018-08-10,0.346167,0.347973,0.316909,0.320426,249264000.0,12592701615.4
222,2018-08-11,0.321122,0.32121,0.291582,0.301262,284423000.0,11839558818.7
223,2018-08-12,0.300604,0.309376,0.297057,0.29787,178827000.0,11706253644.1
224,2018-08-13,0.297572,0.31068,0.276544,0.277466,235117000.0,10924502190.5
225,2018-08-14,0.278738,0.279615,0.253983,0.274272,276768000.0,10798746746.6
226,2018-08-15,0.276797,0.301744,0.276797,0.282005,332432000.0,11103213511.7
227,2018-08-16,0.282034,0.300958,0.278203,0.292436,238219000.0,11513907010.5
228,2018-08-17,0.292808,0.373619,0.292766,0.366676,497206000.0,14436913947.0
229,2018-08-18,0.363027,0.369954,0.317115,0.3271,434332000.0,12878711865.7
230,2018-08-19,0.327363,0.353079,0.321945,0.343978,327300000.0,13543239223.9
231,2018-08-20,0.344451,0.351689,0.317692,0.319283,311144000.0,12570937819.0
232,2018-08-21,0.318219,0.3381,0.316983,0.335177,248735000.0,13196722736.2
233,2018-08-22,0.334434,0.350122,0.316613,0.319803,286845000.0,12640056537.7
234,2018-08-23,0.319573,0.328813,0.319176,0.327709,217578000.0,12952537305.5
235,2018-08-24,0.32739,0.328584,0.318217,0.327606,244571000.0,12948466281.0
236,2018-08-25,0.32765,0.33153,0.324468,0.32823,167363000.0,12973129574.6
237,2018-08-26,0.328162,0.328327,0.320571,0.323776,168718000.0,12797087411.7
238,2018-08-27,0.323643,0.337781,0.323066,0.336903,227284000.0,13347493496.0
239,2018-08-28,0.337527,0.356798,0.334971,0.351837,329550000.0,13939151830.5
240,2018-08-29,0.350833,0.353745,0.341238,0.344803,275908000.0,13671491746.6
241,2018-08-30,0.344546,0.34664,0.325641,0.335444,263925000.0,13300405963.5
242,2018-08-31,0.335474,0.338988,0.328373,0.335332,219139000.0,13295965146.4
243,2018-09-01,0.335313,0.352657,0.334467,0.347721,257267000.0,13787190893.4
244,2018-09-02,0.347323,0.349541,0.338393,0.342523,240907000.0,13581089397.5
245,2018-09-03,0.343137,0.343684,0.334542,0.335961,201147000.0,13320905092.7
246,2018-09-04,0.335184,0.34032,0.330305,0.331652,241419000.0,13150052582.9
247,2018-09-05,0.331465,0.3341,0.283601,0.283601,344488000.0,11244823075.3
248,2018-09-06,0.2835,0.305327,0.276112,0.30271,329763000.0,12002497851.3
249,2018-09-07,0.301431,0.305307,0.287287,0.291435,213961000.0,11555442374.8
250,2018-09-08,0.291119,0.296207,0.273789,0.279333,169208000.0,11075596221.7
251,2018-09-09,0.278661,0.291261,0.274478,0.27868,168991000.0,11049704671.8
252,2018-09-10,0.280237,0.282113,0.26382,0.270321,204958000.0,10735217970.1
253,2018-09-11,0.270167,0.274917,0.255917,0.26371,200330000.0,10472676303.0
254,2018-09-12,0.263166,0.272626,0.255756,0.270087,298449000.0,10725925162.6
255,2018-09-13,0.270783,0.284655,0.267846,0.280583,311799000.0,11142751261.3
256,2018-09-14,0.281184,0.284941,0.273855,0.277159,269029000.0,11033441784.3
257,2018-09-15,0.277006,0.283564,0.276765,0.282008,205361000.0,11226475960.4
258,2018-09-16,0.281723,0.281846,0.276549,0.281166,197009000.0,11192956724.3
259,2018-09-17,0.281545,0.283361,0.268184,0.272251,246489000.0,10838058873.2
260,2018-09-18,0.271452,0.332653,0.27101,0.32186,600216000.0,12812946982.5
